顾客编号,1月消费总额,2月消费总额,3月消费总额,4月消费总额,1月消费天数,2月消费天数,3月消费天数,4月消费天数
68,195.38966000000002,162.6,60.22,206.12260000000003,26,10,7,19
69,88.3,0.0,0.0,0.0,10,0,0,0
70,149.47868000000003,75.49727999999999,74.56586000000001,11.074000000000002,33,13,11,2
71,175.80712,12.7706,0.0,0.0,30,5,0,0
72,739.6962799999999,196.0,0.0,0.0,58,1,0,0
73,352.98855999999995,298.82959999999997,213.01144000000002,237.86100000000005,32,31,18,31
74,682.8087999999997,137.30016000000003,316.8,541.4507999999998,52,13,15,37
75,185.49320000000003,19.635440000000003,182.58664,218.22112,30,6,40,32
76,247.7956,31.799999999999997,0.0,74.84079999999999,33,6,0,10
77,100.9,0.0,12.4,0.0,14,0,3,0
78,338.92564,502.82434,59.46768,21.187559999999998,15,33,7,8
79,26.88888,0.0,0.0,0.0,6,0,0,0
80,202.8,0.0,0.0,0.0,9,0,0,0
81,251.51248,248.57768000000002,273.798,212.92776000000003,31,46,26,26
82,35.63312,0.0,0.0,63.91688,6,0,0,3
83,89.852,0.0,0.0,0.0,13,0,0,0
84,397.29679999999985,418.4057999999999,232.10000000000005,411.8268199999999,38,26,10,33
85,26.1768,0.0,82.11244,0.0,3,0,5,0
86,197.29600000000002,0.0,0.0,68.4628,7,0,0,7
87,351.7916,123.47883999999999,250.80799999999996,173.69972000000007,29,6,22,29
88,102.86004000000001,190.81472000000002,71.71795999999999,0.0,14,8,13,0
89,26.5,0.0,0.0,0.0,5,0,0,0
90,197.73480000000004,285.3874799999999,0.0,42.3,22,24,0,5
91,377.50996,90.90520000000001,96.1436,578.4707999999997,43,9,11,44
92,1048.7911999999997,218.26420000000002,0.0,111.26751999999999,98,28,0,16
93,260.28504,112.92999999999998,220.22616,275.30438000000004,43,21,31,42
94,361.49999999999994,0.0,33.2,0.0,33,0,5,0
95,36.8316,62.160360000000004,63.35364,50.63546,9,13,15,6
96,73.82000000000001,0.0,0.0,0.0,15,0,0,0
97,7.1084000000000005,0.0,0.0,0.0,3,0,0,0
98,22.700000000000003,0.0,0.0,0.0,3,0,0,0
99,214.23832,0.0,0.0,90.70000000000002,7,0,0,7
100,44.72240000000001,0.0,0.0,0.0,2,0,0,0
101,21.9,0.0,0.0,0.0,4,0,0,0
102,90.19355999999999,163.80280000000002,166.05620000000002,161.9,21,39,16,13
103,145.0334,0.0,33.72896,0.0,9,0,8,0
104,91.38320000000002,0.0,118.69475999999999,0.0,9,0,8,0
105,348.83502,121.47187999999998,79.76448,149.58426,61,33,8,15
106,183.1,73.01832,32.55912,117.77912,14,10,6,18
107,215.85779999999997,438.90000000000003,61.737680000000005,44.749359999999996,15,11,7,3
108,670.28638,672.73896,514.4583,485.87432,85,17,43,29
109,24.706480000000003,73.6,0.0,0.0,4,6,0,0
110,103.12008000000002,0.0,0.0,0.0,14,0,0,0
111,17.85232,0.0,0.0,162.43368,2,0,0,6
112,44.39077999999999,0.0,0.0,0.0,4,0,0,0
113,133.84916,138.5056,34.5408,402.39125999999993,19,19,9,35
114,188.27560000000005,0.0,0.0,0.0,17,0,0,0
115,116.45512000000001,0.0,0.0,23.4228,12,0,0,1
116,112.6,0.0,0.0,0.0,2,0,0,0
117,259.72040000000004,0.0,31.994359999999997,19.4666,9,0,5,5
118,85.65088,61.27816,202.40000000000003,0.0,10,4,14,0
119,148.51252,235.84340000000006,239.46368000000004,113.40344,11,25,20,8
120,58.36708,0.0,0.0,0.0,3,0,0,0
121,193.15380000000005,14.9,100.1006,143.17144000000002,16,2,11,19
122,75.18152000000002,39.27452,36.11642,0.0,5,8,6,0
123,42.5732,0.0,0.0,0.0,3,0,0,0
124,23.958159999999996,0.0,0.0,0.0,6,0,0,0
125,10.9,0.0,0.0,0.0,1,0,0,0
126,143.9272,261.07956,170.06396,0.0,7,7,14,0
127,436.9815399999999,63.55144,222.32032,172.31364000000002,72,6,28,23
128,94.20645999999999,0.0,0.0,0.0,17,0,0,0
129,172.51402000000002,0.0,0.0,0.0,14,0,0,0
130,103.68803999999999,41.04512,0.0,117.08048000000001,16,15,0,14
131,152.5,0.0,0.0,0.0,11,0,0,0
132,64.8,119.4,0.0,0.0,11,8,0,0
133,116.56796,0.0,0.0,374.80828,26,0,0,37
134,176.02,55.4,137.56,134.44160000000005,20,7,12,18
135,55.31028,0.0,0.0,0.0,5,0,0,0
136,45.26656,0.0,0.0,0.0,6,0,0,0
137,56.94312000000001,0.0,0.0,0.0,13,0,0,0
138,31.776360000000004,0.0,0.0,0.0,2,0,0,0
139,148.26152,470.9516799999999,272.54396,69.21052,19,20,29,6
140,168.71616,0.0,0.0,0.0,31,0,0,0
141,35.721199999999996,0.0,0.0,0.0,5,0,0,0
142,301.47638000000006,293.79508,246.33347999999995,255.05476000000007,52,41,25,28
143,91.5132,127.8,0.0,85.3,11,1,0,5
144,275.0792,464.21091999999993,149.95412000000002,224.12756000000002,43,46,18,21
145,202.04436,203.43088,420.6187999999999,243.14640000000003,17,14,32,15
146,233.60180000000003,161.166,30.94632,66.12064,38,13,7,15
147,59.7,36.03472,0.0,0.0,1,6,0,0
148,31.799999999999997,0.0,0.0,0.0,2,0,0,0
149,102.30052,0.0,0.0,0.0,13,0,0,0
150,3.0330399999999997,0.0,0.0,105.7852,2,0,0,10
151,388.4026799999999,103.50192000000001,0.0,177.37464,41,4,0,30
152,61.13152,25.390079999999998,27.648999999999997,12.259720000000002,15,5,2,3
153,219.89188,0.0,86.0,0.0,16,0,8,0
154,53.81868,0.0,0.0,0.0,6,0,0,0
155,89.10000000000001,0.0,0.0,0.0,9,0,0,0
156,142.52704000000003,18.9944,51.31736,110.09072000000002,20,3,8,19
157,12.436,0.0,22.799999999999997,0.0,3,0,3,0
158,22.1,0.0,0.0,0.0,4,0,0,0
159,59.74,440.4,0.0,0.0,10,5,0,0
160,59.130399999999995,66.4956,0.0,0.0,2,4,0,0
161,27.277359999999998,0.0,0.0,0.0,3,0,0,0
162,106.51087999999999,0.0,149.01568,0.0,13,0,8,0
163,162.68343999999996,102.16720000000001,0.0,47.4,20,10,0,4
164,197.50200000000007,0.0,114.24896000000003,274.76344,27,0,19,17
165,40.944680000000005,0.0,0.0,0.0,2,0,0,0
166,40.4756,0.0,23.776000000000003,3.5,4,0,6,1
167,133.56032,0.0,69.17112,84.56536000000001,10,0,10,8
168,65.30068000000001,80.3088,71.73091999999998,44.343360000000004,8,6,14,7
169,43.817040000000006,0.0,67.2504,0.0,6,0,5,0
170,7.3,0.0,0.0,0.0,1,0,0,0
171,47.3428,48.367999999999995,0.0,0.0,6,11,0,0
172,180.58908,373.1,48.938,34.92464,13,7,3,3
173,73.3,53.7,0.0,0.0,3,5,0,0
174,402.98944,64.51456,515.7788,249.35428000000007,60,6,46,34
175,106.60000000000002,0.0,0.0,0.0,4,0,0,0
176,59.32,32.461040000000004,0.0,45.0144,7,8,0,8
177,244.71138,131.97308,105.303,0.0,18,7,6,0
178,20.200000000000003,0.0,0.0,0.0,2,0,0,0
179,145.5256,0.0,135.90326,109.39040000000001,6,0,15,10
180,42.01724,2.7,0.0,22.994740000000004,4,1,0,3
181,386.1029799999999,135.4082,0.0,143.6528,46,14,0,13
182,44.9,91.27047999999999,0.0,0.0,2,6,0,0
183,120.7666,295.2016,41.444,70.5046,17,29,6,8
184,56.68648,0.0,0.0,0.0,5,0,0,0
185,22.368660000000002,0.0,17.1618,0.0,5,0,2,0
186,34.5072,0.0,0.0,0.0,8,0,0,0
187,149.33228000000003,0.0,31.6608,0.0,22,0,6,0
188,158.33880000000005,0.0,0.0,0.0,22,0,0,0
189,81.09012,101.30000000000001,11.5,152.32792,10,5,1,3
190,294.7636799999999,37.632799999999996,171.83720000000002,263.395,29,10,24,24
191,54.599999999999994,25.9,89.6,0.0,10,2,5,0
192,19.49882,0.0,0.0,0.0,3,0,0,0
193,28.115039999999997,0.0,0.0,0.0,6,0,0,0
194,46.44204,0.0,0.0,0.0,3,0,0,0
195,20.32744,0.0,0.0,0.0,2,0,0,0
196,226.94559999999996,0.0,70.99127999999999,0.0,28,0,11,0
197,295.85462,0.0,0.0,0.0,19,0,0,0
198,103.21936000000001,0.0,0.0,97.16952,20,0,0,6
199,48.543060000000004,137.38714000000002,14.0752,80.84931999999999,17,16,3,10
200,18.21576,0.0,0.0,26.852800000000002,3,0,0,4
201,60.501799999999996,132.26656000000003,60.924400000000006,24.1,9,9,7,5
202,30.6,0.0,0.0,0.0,5,0,0,0
203,381.35344,6.5,85.60000000000001,0.0,24,1,3,0
204,169.89231999999998,50.38128000000001,146.08906000000002,94.79216,33,8,21,25
205,375.97132,137.05952,204.51412000000002,178.57232000000005,60,18,20,27
206,38.099999999999994,0.0,0.0,0.0,3,0,0,0
207,70.37939999999999,0.0,84.06436000000002,6.91736,13,0,16,3
208,54.699999999999996,0.0,0.0,0.0,4,0,0,0
209,52.358519999999984,0.0,26.82842,37.391220000000004,8,0,5,6
210,338.80951999999985,593.3764,673.72598,382.26328,59,72,78,56
211,91.6116,0.0,0.0,0.0,7,0,0,0
212,374.48458,278.0346,186.76748,254.12016000000006,43,44,29,21
213,42.199999999999996,0.0,0.0,0.0,2,0,0,0
214,134.004,0.0,0.0,0.0,6,0,0,0
215,151.18452000000002,149.67371999999997,271.60527999999994,296.65887999999995,27,20,46,35
216,91.1,0.0,0.0,0.0,14,0,0,0
217,77.24816,0.0,0.0,0.0,23,0,0,0
218,121.26588000000002,0.0,0.0,0.0,18,0,0,0
219,18.4,0.0,0.0,7.6,3,0,0,1
220,179.02800000000002,34.70564,145.3,148.5632,15,7,14,16
221,57.283519999999996,489.07919999999996,79.3,77.73679999999999,6,13,11,2
222,14.92104,0.0,0.0,0.0,3,0,0,0
223,357.95133999999996,21.010800000000003,257.11663999999996,123.58072000000001,53,7,46,22
224,65.69999999999999,0.0,0.0,0.0,3,0,0,0
225,32.03736,0.0,0.0,0.0,3,0,0,0
226,107.83624,113.2,302.21260000000007,86.12376,17,5,20,6
227,82.22689999999999,34.39096,56.41892,157.19104000000004,18,8,13,21
228,133.17216,30.70956,22.1516,0.0,17,9,3,0
229,63.14563999999999,0.0,0.0,24.7252,11,0,0,3
230,154.3,0.0,0.0,0.0,8,0,0,0
231,333.01639999999986,329.2274,602.8799599999999,245.5781,40,44,58,26
232,11.5,0.0,0.0,18.8,3,0,0,2
233,27.9,82.5,0.0,0.0,1,12,0,0
234,16.5,0.0,0.0,0.0,2,0,0,0
235,133.1,182.75480000000002,187.41122000000001,125.60000000000001,16,16,15,13
236,29.0068,178.89364,132.0959,390.16371999999996,8,24,23,31
237,79.34716,22.413599999999995,0.0,0.0,9,4,0,0
238,108.78211999999999,95.89144,63.3698,168.11484000000004,16,14,10,17
239,18.5828,0.0,0.0,0.0,2,0,0,0
240,112.47572,0.0,0.0,0.0,12,0,0,0
241,42.50000000000001,115.03627999999999,68.4368,67.1,8,16,7,7
242,249.66515999999996,41.3364,77.53031999999999,100.2413,37,4,11,13
243,43.7,0.0,0.0,16.9,3,0,0,1
244,73.65487999999999,0.0,14.340000000000002,76.6028,8,0,5,10
245,21.53,0.0,0.0,0.0,2,0,0,0
246,144.03512,0.0,0.0,0.0,16,0,0,0
247,193.85402000000002,0.0,0.0,0.0,30,0,0,0
248,171.59468,0.0,0.0,0.0,17,0,0,0
249,572.1248599999999,342.92456,0.0,0.0,53,23,0,0
250,202.51208,0.0,285.97196,585.4834800000002,25,0,29,43
251,29.200000000000003,0.0,0.0,27.57848,4,0,0,4
252,65.1,0.0,0.0,0.0,4,0,0,0
253,13.9,18.143839999999997,0.0,98.18432,2,2,0,11
254,23.7,0.0,0.0,0.0,4,0,0,0
255,181.10492,75.68599999999999,0.0,331.54356000000007,17,7,0,30
256,282.53102000000007,15.16,149.11288,0.0,33,3,11,0
257,8.672,0.0,0.0,0.0,2,0,0,0
258,238.67436,94.3,38.36108,82.40936,19,7,4,7
259,120.73400000000001,0.0,0.0,0.0,9,0,0,0
260,24.57088,91.752,55.28148,426.81767999999977,8,21,22,59
261,104.44847999999999,125.87952,57.262640000000005,162.91436000000002,20,22,10,29
262,21.9,44.9,0.0,0.0,1,4,0,0
263,18.61372,0.0,0.0,0.0,4,0,0,0
264,186.9456,30.35192,0.0,0.0,19,6,0,0
265,253.80568000000002,237.00776,92.37448,247.43978000000007,25,18,10,27
266,164.31848,0.0,0.0,165.525,24,0,0,14
267,310.49736000000007,117.46852000000001,131.77788,94.36884,26,13,27,10
268,81.853,0.0,87.14744,0.0,8,0,12,0
269,218.65336,0.0,245.33883999999998,34.213640000000005,21,0,26,5
270,212.6552800000001,196.152,149.39328000000003,98.24690000000001,36,10,25,15
271,84.834,90.30724000000001,130.12752,5.9,9,10,4,1
272,89.1,0.0,0.0,0.0,3,0,0,0
273,74.5,73.30000000000001,0.0,0.0,7,5,0,0
274,364.467,0.0,145.40088,231.21280000000004,42,0,15,25
275,15.547,0.0,0.0,0.0,3,0,0,0
276,35.62464,0.0,0.0,0.0,7,0,0,0
277,117.7633,487.5,0.0,0.0,13,11,0,0
278,199.2172,0.0,25.511200000000002,66.19999999999999,8,0,2,3
279,20.61732,21.763479999999998,0.0,61.951840000000004,3,5,0,12
280,127.95014000000002,42.577200000000005,0.0,0.0,29,7,0,0
281,67.40988,9.2,30.94636,81.49019999999999,18,2,7,16
282,23.2,0.0,0.0,0.0,2,0,0,0
283,51.8,0.0,0.0,0.0,2,0,0,0
284,62.124399999999994,46.42254,249.97349999999997,121.73128000000001,13,12,40,16
285,12.59008,0.0,0.0,0.0,3,0,0,0
286,367.30879999999996,284.78036,139.74946,215.90276000000006,14,17,12,29
287,70.86911999999998,95.48736,108.92,30.29026,15,10,20,6
288,4.5,0.0,0.0,21.09672,1,0,0,3
289,4.160920000000001,0.0,0.0,26.9,2,0,0,1
290,77.9,0.0,0.0,0.0,3,0,0,0
291,77.5856,0.0,0.0,0.0,7,0,0,0
292,18.34036,0.0,0.0,2.54408,3,0,0,1
293,42.231880000000004,0.0,0.0,0.0,10,0,0,0
294,315.19800000000004,0.0,73.9,125.81192,22,0,8,14
295,25.1982,0.0,0.0,0.0,7,0,0,0
296,55.861999999999995,0.0,0.0,0.0,3,0,0,0
297,127.7,0.0,677.0999999999999,185.6318,8,0,23,6
298,21.6,243.25760000000002,19.404000000000003,5.699999999999999,6,16,2,2
299,156.5,0.0,0.0,0.0,17,0,0,0
300,133.51954000000003,142.93848,95.2888,62.403119999999994,13,13,15,12
301,107.0768,97.60000000000001,0.0,0.0,22,4,0,0
302,50.2,0.0,0.0,0.0,11,0,0,0
303,63.10076,155.28951999999998,48.20440000000001,273.75144000000006,8,21,7,36
304,534.6390000000001,173.52895999999996,233.98816,558.9664399999998,56,18,22,63
305,34.20000000000001,0.0,0.0,0.0,6,0,0,0
306,99.33297999999999,29.908,140.67023999999998,78.2136,17,5,17,8
307,35.46512,0.0,0.0,5.0855999999999995,10,0,0,2
308,276.39676,18.0,44.06172,30.6,27,2,10,2
309,150.63804000000005,163.34216000000006,195.58332000000007,89.90806,30,23,22,10
310,105.66196000000002,0.0,22.3,65.23328000000001,6,0,3,6
311,183.51180000000002,0.0,66.99300000000001,53.370839999999994,19,0,9,11
312,188.8,0.0,0.0,0.0,3,0,0,0
313,27.5,100.61287999999999,77.8068,0.0,9,13,4,0
314,76.12012000000001,0.0,0.0,0.0,19,0,0,0
315,57.1754,0.0,0.0,0.0,6,0,0,0
316,650.7974200000001,86.51428000000001,103.158,49.0,22,10,8,1
317,55.04328,249.62678,40.940920000000006,0.0,15,32,10,0
318,120.35055999999999,401.3384,260.40343999999993,74.5,10,25,25,5
319,7.047040000000001,0.0,0.0,0.0,2,0,0,0
320,16.8,41.95944,0.0,0.0,2,4,0,0
321,61.24792,0.0,92.58984,0.0,8,0,10,0
322,16.80712,0.0,0.0,0.0,3,0,0,0
323,45.49999999999999,0.0,0.0,0.0,5,0,0,0
324,8.5,0.0,0.0,0.0,2,0,0,0
325,85.89224000000002,0.0,0.0,80.61040000000001,5,0,0,5
326,350.9999999999999,163.9,60.74588,160.60000000000002,22,17,7,16
327,96.33902000000002,0.0,86.64814000000001,31.149519999999995,19,0,13,5
328,75.92752,26.00448,0.0,0.0,5,5,0,0
329,155.0,0.0,141.78702,16.705959999999997,2,0,7,3
330,38.72048,0.0,66.66336,67.73039999999999,3,0,5,5
331,62.16480000000001,0.0,4.7918,117.73360000000002,11,0,3,15
332,182.50000000000003,0.0,0.0,0.0,23,0,0,0
333,145.30356000000003,0.0,0.0,0.0,11,0,0,0
334,97.9,0.0,0.0,0.0,13,0,0,0
335,33.56,0.0,0.0,0.0,4,0,0,0
336,36.8,64.69124000000001,0.0,26.31344,2,12,0,6
337,56.7408,220.34983999999997,61.04692,163.16944,8,27,9,12
338,72.7,0.0,0.0,0.0,3,0,0,0
339,88.48986000000001,77.1576,96.81958000000002,65.92268,17,15,26,15
340,105.0,0.0,0.0,0.0,1,0,0,0
341,9.9,0.0,110.8792,0.0,2,0,8,0
342,23.41124,13.2076,0.0,0.0,7,6,0,0
343,38.0,0.0,0.0,48.47264,4,0,0,7
344,177.87443999999996,27.715,190.42424000000005,103.10400000000003,27,5,28,26
345,93.13756000000001,0.0,0.0,0.0,9,0,0,0
346,294.44399999999996,0.0,26.574080000000002,0.0,28,0,7,0
347,54.98424,125.48696000000001,41.5928,211.19000000000003,8,13,6,21
348,80.49135999999997,121.61048000000001,290.9514,599.7892799999997,12,9,26,41
349,74.47346,0.0,0.0,0.0,10,0,0,0
350,57.4,0.0,47.1312,34.3,7,0,5,5
351,91.6,0.0,0.0,0.0,10,0,0,0
352,228.17646000000002,67.99999999999999,12.92568,211.65240000000003,34,8,2,27
353,173.7452,144.73200000000003,117.19926000000004,52.8,13,12,12,3
354,238.14632,70.34592,79.85040000000001,116.1686,16,13,4,7
355,215.48646,194.86648,0.0,0.0,23,25,0,0
356,54.0908,0.0,0.0,0.0,5,0,0,0
357,150.5552,0.0,59.24,0.0,12,0,7,0
358,45.80947999999999,0.0,0.0,0.0,5,0,0,0
359,30.216,0.0,0.0,0.0,3,0,0,0
360,25.43084,0.0,0.0,0.0,5,0,0,0
361,90.4,59.3,0.0,0.0,7,4,0,0
362,164.60000000000002,0.0,0.0,0.0,11,0,0,0
363,27.7,0.0,0.0,0.0,4,0,0,0
364,17.32992,0.0,0.0,0.0,2,0,0,0
365,211.7218,33.17984,102.67904000000001,145.3,19,6,11,9
366,3.25182,0.0,0.0,0.0,3,0,0,0
367,116.28790000000001,0.0,0.0,33.07176,12,0,0,5
368,92.4,52.9636,45.99999999999999,31.56,10,2,10,5
369,32.28538,100.0,0.0,0.0,3,9,0,0
370,51.0792,0.0,0.0,0.0,4,0,0,0
371,46.61992,27.16576,66.98668,198.62504,13,6,8,28
372,469.91944000000007,321.14948000000004,312.21876,412.32971999999984,32,34,43,62
373,143.17120000000003,5.152,90.4,14.9,12,2,10,1
374,271.91292000000004,0.0,61.62366,0.0,30,0,10,0
375,141.3888,63.2468,0.0,60.728,6,10,0,5
376,38.70320000000001,0.0,18.417279999999998,0.0,5,0,4,0
377,336.13775999999996,492.79999999999995,0.0,0.0,18,12,0,0
378,136.0,176.5,0.0,41.900000000000006,11,5,0,4
379,31.400039999999997,0.0,0.0,0.0,10,0,0,0
380,32.1588,249.91328000000007,0.0,89.5,5,26,0,14
381,125.11993999999999,80.21191999999999,27.2972,190.62004,13,16,7,23
382,159.39936,71.66864000000001,0.0,156.2,10,15,0,6
383,44.26838000000001,83.613,88.16552,78.1,13,13,6,3
384,32.5,0.0,0.0,0.0,6,0,0,0
385,72.58484,38.88106,27.7312,124.27848000000002,13,6,4,19
386,70.01591999999998,64.7,0.0,0.0,9,2,0,0
387,90.04227999999999,0.0,132.68160000000003,0.0,15,0,19,0
388,167.50000000000003,42.3,0.0,61.38,9,7,0,7
389,72.64583999999999,116.15424,0.0,161.0818,6,8,0,6
390,33.72408,24.200000000000003,0.0,0.0,6,3,0,0
391,56.07454,0.0,0.0,0.0,4,0,0,0
392,51.5,0.0,0.0,0.0,7,0,0,0
393,53.1252,0.0,0.0,0.0,3,0,0,0
394,140.2,0.0,0.0,0.0,18,0,0,0
395,251.63456000000002,408.28547999999984,544.5349599999997,616.5634599999996,25,39,49,62
396,127.94362000000004,33.18038,209.92868,122.28263999999999,32,11,20,10
397,113.26375999999998,74.207,137.95600000000002,52.14211999999999,19,11,13,15
398,79.09402,38.70764,134.88874000000004,328.8617599999999,13,6,24,53
399,185.64896,0.0,0.0,0.0,4,0,0,0
400,146.98368000000002,234.98290000000003,266.76762,235.15930000000003,27,31,52,34
401,49.417519999999996,0.0,0.0,0.0,4,0,0,0
402,47.03672,88.816,198.76011999999997,49.5,6,7,15,10
403,210.58916000000002,0.0,135.7364,0.0,8,0,8,0
404,114.54884000000001,212.043,38.58,221.22840000000002,8,22,4,20
405,76.24768,0.0,111.72264,112.93760000000002,16,0,14,13
406,37.88640000000001,0.0,0.0,0.0,3,0,0,0
407,38.97075999999999,0.0,0.0,0.0,7,0,0,0
408,80.86928000000002,0.0,105.02828000000002,111.60004000000004,9,0,13,22
409,41.67458,27.6426,0.0,87.38492000000001,4,9,0,11
410,21.305320000000002,0.0,0.0,0.0,2,0,0,0
411,52.2154,70.8488,42.660000000000004,90.62664000000001,10,10,7,11
412,82.74996000000002,247.03415999999996,46.71092,24.200000000000003,14,10,8,2
413,42.0,0.0,0.0,0.0,1,0,0,0
414,20.8,0.0,0.0,0.0,2,0,0,0
415,206.54128000000003,54.92,85.80776,58.07368,19,6,13,3
416,200.67296,0.0,0.0,0.0,5,0,0,0
417,176.69212000000002,0.0,0.0,0.0,12,0,0,0
418,11.9,0.0,0.0,5.78968,3,0,0,2
419,27.895000000000003,0.0,39.09774,0.0,6,0,7,0
420,22.787600000000005,0.0,0.0,0.0,4,0,0,0
421,174.54395999999997,39.2264,17.773519999999998,152.01672000000002,17,3,4,17
422,2.8896,0.0,0.0,0.0,1,0,0,0
423,193.29999999999998,0.0,0.0,81.5376,14,0,0,12
424,208.58600000000004,0.0,0.0,0.0,24,0,0,0
425,111.52828,122.96603999999999,0.0,0.0,13,8,0,0
426,44.484880000000004,0.0,0.0,0.0,5,0,0,0
427,46.331199999999995,0.0,0.0,0.0,2,0,0,0
428,26.7,0.0,0.0,0.0,7,0,0,0
429,132.2864,0.0,0.0,0.0,16,0,0,0
430,41.800000000000004,0.0,0.0,0.0,6,0,0,0
431,106.42412,89.43176000000001,55.84796,63.34272,10,5,4,5
432,124.02879999999999,0.0,0.0,0.0,6,0,0,0
433,190.83384,0.0,34.3,0.0,24,0,5,0
434,83.73708,58.8,35.40136,33.7,9,1,5,3
435,75.0534,34.1,21.097839999999998,0.0,14,5,5,0
436,119.89824,0.0,0.0,0.0,15,0,0,0
437,165.27452000000002,0.0,18.81096,75.5724,18,0,3,11
438,233.18639999999996,916.3999999999999,0.0,0.0,17,13,0,0
439,40.9,248.8708,64.18679999999999,109.04772,1,17,6,16
440,74.5614,127.37535999999999,91.71440000000001,30.578,8,11,7,5
441,308.50572,0.0,136.99148,75.02911999999999,51,0,11,13
442,52.83444,22.699999999999996,58.599999999999994,17.7,4,2,7,3
443,8.58716,201.9,57.66556,110.21924,3,3,8,22
444,15.600000000000001,129.59468,85.60519999999998,42.34888,2,19,9,7
445,31.289,0.0,12.7384,0.0,8,0,3,0
