中类名称,否,是
蜜饯,3731.6324000000077,1350.1599999999996
袋装速食面,679.1999999999999,36.9
袋装速食面组,2783.2,546.8999999999997
计生用品,263.5,0.0
调味料,2754.1620000000116,76.10000000000001
调味油,859.999999999999,59.49999999999999
调味酱,3396.300000000007,286.3
豆奶,16.2,0.0
运动机能饮料,732.5999999999996,182.7
进口酒,1181.199999999999,712.7999999999996
进口食品,900.2999999999996,51.0
进口饮料,426.79999999999995,21.0
酒类礼盒,0.0,99.0
酱菜类,2275.3548000000046,155.4000000000001
陶瓷餐具,109.5,0.0
雨具/鞋,284.9,0.0
鞋类护理用品,175.20000000000002,12.9
鞋配件,37.9,0.0
食用油,5164.599999999997,7950.29999999999
饮水机,79.0,0.0
饼干,9923.020399999947,2844.420000000008
香/烛,56.0,9.9
香烟,15154.0,0.0
鸡产品,3296.4395999999997,0.0
鸭产品,263.9752,0.0
黄酒,531.6,0.0
